"source_desc","crops","location","year","total","irrigated"
"SURVEY","WHEAT","06007",2005,500,500
"SURVEY","WHEAT","06011",2005,23600,20800
"SURVEY","WHEAT","06013",2005,1500,500
"SURVEY","WHEAT","06019",2005,49400,36000
"SURVEY","WHEAT","06021",2005,2500,2500
"SURVEY","WHEAT","06025",2005,33000,33000
"SURVEY","WHEAT","06029",2005,34000,29000
"SURVEY","WHEAT","06031",2005,56800,41800
"SURVEY","WHEAT","06035",2005,2200,1000
"SURVEY","WHEAT","06039",2005,6500,4500
"SURVEY","WHEAT","06047",2005,8800,6800
"SURVEY","WHEAT","06049",2005,6800,6300
"SURVEY","WHEAT","06065",2005,14500,2000
"SURVEY","WHEAT","06067",2005,4800,1900
"SURVEY","WHEAT","06069",2005,1500,500
"SURVEY","WHEAT","06077",2005,13300,13300
"SURVEY","WHEAT","06079",2005,1500,500
"SURVEY","WHEAT","06093",2005,11000,10000
"SURVEY","WHEAT","06095",2005,17900,9900
"SURVEY","WHEAT","06099",2005,1000,1000
"SURVEY","WHEAT","06101",2005,13100,11600
"SURVEY","WHEAT","06103",2005,500,500
"SURVEY","WHEAT","06107",2005,26700,22700
"SURVEY","WHEAT","06113",2005,37100,32700
"SURVEY","WHEAT","06ag20",2005,11000,10000
"SURVEY","WHEAT","06ag30",2005,9000,7300
"SURVEY","WHEAT","06ag40",2005,5000,2000
"SURVEY","WHEAT","06ag50",2005,1e+05,80400
"SURVEY","WHEAT","06ag51",2005,196500,155100
"SURVEY","WHEAT","06ag80",2005,47500,35000
"SURVEY","WHEAT, SPRING, DURUM","06",2005,69000,69000
"SURVEY","WHEAT, SPRING, DURUM","06019",2005,26000,26000
"SURVEY","WHEAT, SPRING, DURUM","06025",2005,33000,33000
"SURVEY","WHEAT, SPRING, DURUM","06031",2005,8000,8000
"SURVEY","WHEAT, SPRING, DURUM","06065",2005,2000,2000
"SURVEY","WHEAT, SPRING, DURUM","06ag51",2005,34000,34000
"SURVEY","WHEAT, SPRING, DURUM","06ag80",2005,35000,35000
"SURVEY","WHEAT, WINTER","06",2005,3e+05,220800
"SURVEY","WHEAT, WINTER","06001",2005,500,500
"SURVEY","WHEAT, WINTER","06007",2005,500,500
"SURVEY","WHEAT, WINTER","06011",2005,23600,20800
"SURVEY","WHEAT, WINTER","06013",2005,1500,500
"SURVEY","WHEAT, WINTER","06019",2005,23400,10000
"SURVEY","WHEAT, WINTER","06021",2005,2500,2500
"SURVEY","WHEAT, WINTER","06029",2005,34000,29000
"SURVEY","WHEAT, WINTER","06031",2005,48800,33800
"SURVEY","WHEAT, WINTER","06035",2005,2200,1000
"SURVEY","WHEAT, WINTER","06039",2005,6500,4500
"SURVEY","WHEAT, WINTER","06047",2005,8800,6800
"SURVEY","WHEAT, WINTER","06049",2005,6800,6300
"SURVEY","WHEAT, WINTER","06065",2005,12500,NA
"SURVEY","WHEAT, WINTER","06067",2005,4800,1900
"SURVEY","WHEAT, WINTER","06069",2005,1500,500
"SURVEY","WHEAT, WINTER","06077",2005,13300,13300
"SURVEY","WHEAT, WINTER","06079",2005,1500,500
"SURVEY","WHEAT, WINTER","06093",2005,11000,10000
"SURVEY","WHEAT, WINTER","06095",2005,17900,9900
"SURVEY","WHEAT, WINTER","06099",2005,1000,1000
"SURVEY","WHEAT, WINTER","06101",2005,13100,11600
"SURVEY","WHEAT, WINTER","06103",2005,500,500
"SURVEY","WHEAT, WINTER","06107",2005,26700,22700
"SURVEY","WHEAT, WINTER","06113",2005,37100,32700
"SURVEY","WHEAT, WINTER","06ag20",2005,11000,10000
"SURVEY","WHEAT, WINTER","06ag30",2005,9000,7300
"SURVEY","WHEAT, WINTER","06ag40",2005,5000,2000
"SURVEY","WHEAT, WINTER","06ag50",2005,1e+05,80400
"SURVEY","WHEAT, WINTER","06ag51",2005,162500,121100
